,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
58,Cavalo Bravo Red,11.95,https://www.bestbuywinewarehouse.com/collections/all/products/cavalo-bravo-red,Cavalo Bravo Red,,3.4,3168.0,Cavalo Bravo Reserva,https://www.vivino.com/US-NY/en/wines/1784768,red-wine
59,Cecchi Chianti Classico,18.5,https://www.bestbuywinewarehouse.com/collections/all/products/cecchi-chianti-classico,Cecchi Chianti Classico,,3.4,8071.0,Cecchi Chianti Classico,https://www.vivino.com/US-NY/en/wines/1541967,red-wine
60,Charles & Charles Red Blend,17.95,https://www.bestbuywinewarehouse.com/collections/all/products/charles-charles-red-blend,Charles & Charles Red Blend,,,,Paul Charles Red Blend,https://www.vivino.com/US-NY/en/wines/145649451,red-wine
61,Charles & Charles Rose,17.95,https://www.bestbuywinewarehouse.com/collections/all/products/charles-charles-rose,Charles & Charles Rose,,3.6,5439.0,Charles & Charles Rosé,https://www.vivino.com/US-NY/en/wines/4819780,red-wine
62,Chat Cotte De France Marma,13.75,https://www.bestbuywinewarehouse.com/collections/all/products/chat-cotte-de-france-marma,Chat Cotte De France Marma,,3.2,10.0,Château Côte de France Côtes du Marmandais Rosé,https://www.vivino.com/US-NY/en/wines/157855407,red-wine
63,Chat Du Moulin Chiche Bordeaux,11.95,https://www.bestbuywinewarehouse.com/collections/all/products/chat-du-moulin-chiche-bordeaux,Chat Du Moulin Chiche Bordeaux,,3.3,37.0,Château du Moulin Chiche Bordeaux Rouge,https://www.vivino.com/US-NY/en/wines/153276912,red-wine
64,Chat Freybernat Bordeaux,14.95,https://www.bestbuywinewarehouse.com/collections/all/products/chat-freybernat-bordeaux-1,Chat Freybernat Bordeaux,,3.5,765.0,Château Freybernat Bordeaux Rouge,https://www.vivino.com/US-NY/en/wines/4531459,red-wine
65,Chat Hau Laulion Bordeaux,12.95,https://www.bestbuywinewarehouse.com/collections/all/products/chat-hau-laulion-bordeaux,Chat Hau Laulion Bordeaux,,3.6,885.0,Château Haut Laulion Bordeaux Rouge,https://www.vivino.com/US-NY/en/wines/3421369,red-wine
66,Chateau Bousquet Red Bordeaux,17.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-bousquet-red-bordeaux,Chateau Bousquet Red Bordeaux,,3.6,16.0,House Of Commons Château Rouquette Red Bordeaux,https://www.vivino.com/US-NY/en/wines/144893501,red-wine
67,Chateau Cheval Noir Saint Emilion Grand Cru,62.0,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-cheval-noir-saint-emilion-grand-cru,Chateau Cheval Noir Saint Emilion Grand Cru,,4.1,1216.0,Château Cheval Noir Cuvée Le Fer Saint-Émilion Grand Cru,https://www.vivino.com/US-NY/en/wines/4208676,red-wine
68,Chateau De La Charrière Santenay 1er cru,29.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-de-la-charriere-santenay-1er-cru,Chateau De La Charrière Santenay 1er cru,,3.8,547.0,Château de la Charrière Santenay 1er Cru 'Clos Rousseau',https://www.vivino.com/US-NY/en/wines/4931305,red-wine
69,Chateau Des Mille Anges Red Bordeaux,23.5,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-des-mille-anges-red-bordeaux,Chateau Des Mille Anges Red Bordeaux,,4.4,130.0,Château des Mille Anges Bordeaux Mozart Red Semi Sweet,https://www.vivino.com/US-NY/en/wines/163978445,red-wine
70,Chateau Grand Gallius medoc,12.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-grand-gallius-medoc,Chateau Grand Gallius medoc,,3.4,160.0,Château Grand Gallius Médoc,https://www.vivino.com/US-NY/en/wines/4939694,red-wine
71,Chateau Hau Laulion Bordeaux,12.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-hau-laulion-bordeaux,Chateau Hau Laulion Bordeaux,,3.6,40.0,Château Laulion Bordeaux,https://www.vivino.com/US-NY/en/wines/4977123,red-wine
72,Chateau Haut Beynat red bordeaux,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-haut-beynat-red-bordeaux,Chateau Haut Beynat red bordeaux,,3.7,510.0,Château Haut Beynat Castillon - Côtes de Bordeaux,https://www.vivino.com/US-NY/en/wines/3116617,red-wine
73,Chateau Haut Florin Bordeaux,16.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-haut-florin-bordeaux,Chateau Haut Florin Bordeaux,,3.3,1025.0,Château Haut-Florin Bordeaux Rouge,https://www.vivino.com/US-NY/en/wines/3935258,red-wine
74,Chateau Haut-Surget,27.95,https://www.bestbuywinewarehouse.com/collections/all/products/53,Chateau Haut-Surget,,3.9,4798.0,Château Haut-Surget Lalande-de-Pomerol,https://www.vivino.com/US-NY/en/wines/3480421,red-wine
75,Chateau La Cardonne,26.95,https://www.bestbuywinewarehouse.com/collections/all/products/51,Chateau La Cardonne,,3.8,6712.0,Château La Cardonne Médoc,https://www.vivino.com/US-NY/en/wines/1643843,red-wine
76,Chateau La Couronne Saint Emilion Grand Cru,26.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-la-couronne-saint-emilion-grand-cru,Chateau La Couronne Saint Emilion Grand Cru,,3.9,3142.0,Château La Couronne Saint-Émilion Grand Cru,https://www.vivino.com/US-NY/en/wines/2224127,red-wine
77,Chateau Lauriol Red Bordeaux,16.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-lauriol-red-bordeaux,Chateau Lauriol Red Bordeaux,,3.5,27.0,Château Malartic Lauriol Bordeaux,https://www.vivino.com/US-NY/en/wines/10639659,red-wine
78,Chateau Le Borderon Medoc,24.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-le-borderon-medoc,Chateau Le Borderon Medoc,,3.6,608.0,Château le Borderon Haut-Médoc,https://www.vivino.com/US-NY/en/wines/4839411,red-wine
79,Chateau Lyonnat,27.5,https://www.bestbuywinewarehouse.com/collections/all/products/58,Chateau Lyonnat,,3.8,4305.0,Château Lyonnat Emotion Lussac-Saint-Émilion,https://www.vivino.com/US-NY/en/wines/4751004,red-wine
80,Chateau Michel de Vert Saint Emilion,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-michel-de-vert-saint-emilion,Chateau Michel de Vert Saint Emilion,,3.6,642.0,Château Michel de Vert Lussac Saint-Émilion,https://www.vivino.com/US-NY/en/wines/2860429,red-wine
81,Chateau Moya Red Bordeaux,29.95,https://www.bestbuywinewarehouse.com/collections/all/products/chateau-moya-red-bordeaux,Chateau Moya Red Bordeaux,,3.9,1225.0,Château Moya Bordeaux,https://www.vivino.com/US-NY/en/wines/4876228,red-wine
82,Clas La Chance Cabernet,16.95,https://www.bestbuywinewarehouse.com/collections/all/products/clas-la-chance-cabernet,Clas La Chance Cabernet,,3.8,837.0,Clos LaChance Estate Vineyards Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/161619662,red-wine
83,Clos Des Menuts Saint Emilion Grand Cru,31.95,https://www.bestbuywinewarehouse.com/collections/all/products/clos-des-menuts-saint-emilion-grand-cru,Clos Des Menuts Saint Emilion Grand Cru,,4.0,5816.0,Clos des Menuts Saint-Émilion Grand Cru,https://www.vivino.com/US-NY/en/wines/1582060,red-wine
84,Clos du Bois Merlot,16.95,https://www.bestbuywinewarehouse.com/collections/all/products/clos-du-bois-merlot,Clos du Bois Merlot,,3.5,4973.0,Clos du Bois Merlot,https://www.vivino.com/US-NY/en/wines/3024285,red-wine
85,Colosi Rosso,10.95,https://www.bestbuywinewarehouse.com/collections/all/products/colosi-rosso,Colosi Rosso,,3.6,2570.0,Colosi Rosso (Cariddi),https://www.vivino.com/US-NY/en/wines/1534932,red-wine
86,Cooper's Creek Pinot Noir,18.0,https://www.bestbuywinewarehouse.com/collections/all/products/copers-creek-pinot-noir,Cooper's Creek Pinot Noir,,3.5,584.0,Coopers Creek Pinot Noir,https://www.vivino.com/US-NY/en/wines/3214627,red-wine
87,Coppola Cabernet,19.95,https://www.bestbuywinewarehouse.com/collections/all/products/coppola-cabernet,Coppola Cabernet,,4.2,312.0,Francis Ford Coppola Winery The Family Coppola Cabernet Franc,https://www.vivino.com/US-NY/en/wines/162260267,red-wine
88,Coppola Claret Cabernet,18.5,https://www.bestbuywinewarehouse.com/collections/all/products/coppula-claret-cabernet,Coppola Claret Cabernet,,4.1,435.0,Bell Claret Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/2849252,red-wine
89,Coppola Diamond Merlot,18.0,https://www.bestbuywinewarehouse.com/collections/all/products/coppola-diamond-merlot,Coppola Diamond Merlot,,3.8,15089.0,Francis Ford Coppola Winery Diamond Collection Merlot,https://www.vivino.com/US-NY/en/wines/1529040,red-wine
90,Côtes-du-Rhone,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/86,Côtes-du-Rhone,,3.7,68897.0,E. Guigal Côtes-du-Rhône Rouge,https://www.vivino.com/US-NY/en/wines/1470899,red-wine
91,Cupcake Pinot Noir,13.5,https://www.bestbuywinewarehouse.com/collections/all/products/cupcake-pinot-noir,Cupcake Pinot Noir,,3.2,3709.0,Cupcake Pinot Noir,https://www.vivino.com/US-NY/en/wines/1937589,red-wine
92,Cupcake Red Velvet,12.95,https://www.bestbuywinewarehouse.com/collections/all/products/cupcake-red-velvet,Cupcake Red Velvet,,3.5,15665.0,Cupcake Red Velvet,https://www.vivino.com/US-NY/en/wines/1695376,red-wine
93,Da Vinci Chianti,12.5,https://www.bestbuywinewarehouse.com/collections/all/products/da-vinci-chianti,Da Vinci Chianti,,3.5,16650.0,Cantine Leonardo da Vinci Da Vinci Chianti,https://www.vivino.com/US-NY/en/wines/1526903,red-wine
