,title,url,price,vintage,search_name,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
59,Scaia Rosato,https://shop.heinzcatering.berkeleybowl.com/product/83284182300,15.39,,Scaia Rosato,4.0,4688.0,Tenuta Sant'Antonio Scaia Rosato,https://www.vivino.com/US-NY/en/wines/3922208,rose
60,Underwood Pinot Noir Rose Wine,https://shop.heinzcatering.berkeleybowl.com/product/85603600107,6.59,,Underwood Pinot Noir Rose,3.5,11641.0,Underwood Pinot Noir,https://www.vivino.com/US-NY/en/wines/2268001,rose
61,Summer Water Rosé,https://shop.heinzcatering.berkeleybowl.com/product/81294902180,18.69,,Summer Water Rosé,3.9,3812.0,Summer Water Rosé,https://www.vivino.com/US-NY/en/wines/141617126,rose
62,Broc Love Rose Can,https://shop.heinzcatering.berkeleybowl.com/product/70068604648,10.99,,Broc Love Rose Can,4.0,723.0,Broc Cellars Love Rosè,https://www.vivino.com/US-NY/en/wines/49987337,rose
63,Villa Wolf Pinot Noir Rose,https://shop.heinzcatering.berkeleybowl.com/product/18310300017,13.19,,Villa Wolf Pinot Noir Rose,4.0,6067.0,Villa Wolf Pinot Noir Rosé,https://www.vivino.com/US-NY/en/wines/4590341,rose
64,Pizzolato Paloma Rose Secco,https://shop.heinzcatering.berkeleybowl.com/product/18555400006,17.59,,Pizzolato Paloma Rose Secco,3.8,33.0,Pizzolato Paloma Rosé Secco,https://www.vivino.com/US-NY/en/wines/154783254,rose
65,Mont Gravet Rose,https://shop.heinzcatering.berkeleybowl.com/product/8983201009,9.89,,Mont Gravet Rose,3.8,1835.0,Mont Gravet Rosé,https://www.vivino.com/US-NY/en/wines/4855706,rose
66,Broc Love Rose,https://shop.heinzcatering.berkeleybowl.com/product/70068604633,24.19,,Broc Love Rose,4.0,723.0,Broc Cellars Love Rosè,https://www.vivino.com/US-NY/en/wines/49987337,rose
67,Angels & Cowboys Rose,https://shop.heinzcatering.berkeleybowl.com/product/4023209671,17.59,,Angels & Cowboys Rose,3.9,2566.0,Angels & Cowboys Rosé,https://www.vivino.com/US-NY/en/wines/16875488,rose
68,Joel Gott Chardonnay Monterey Sonoma Napa,https://shop.heinzcatering.berkeleybowl.com/product/18898500003,15.39,,Joel Gott Chardonnay Monterey Sonoma Napa,3.5,19.0,Joel Gott Chardonnay,https://www.vivino.com/US-NY/en/wines/152774207,us_whites
69,Loella Pino Gris,https://shop.heinzcatering.berkeleybowl.com/product/60000061,16.49,,Loella Pino Gris,,,Ruinello Pinò Gris,https://www.vivino.com/US-NY/en/wines/75288703,us_whites
70,Kendall-Jackson Chardonnay Vintner's Reserve 2018,https://shop.heinzcatering.berkeleybowl.com/product/8158401310,18.69,,Kendall-Jackson Chardonnay Vintner's Reserve,3.9,38359.0,Kendall-Jackson Vintner's Reserve Chardonnay,https://www.vivino.com/US-NY/en/wines/1490740,us_whites
71,Hess Select Sauvignon Blanc 2018,https://shop.heinzcatering.berkeleybowl.com/product/71788857002,14.29,,Hess Select Sauvignon Blanc,3.4,2171.0,Hess Select Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/1707557,us_whites
72,Bonterra Vineyards Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/8289606262,13.19,,Bonterra Sauvignon Blanc,3.7,3927.0,Bonterra Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/1867498,us_whites
73,Murphy-Goode Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/8372288006,12.09,,Murphy-Goode Sauvignon Blanc,3.5,4482.0,Murphy-Goode The Fumé Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/2106126,us_whites
74,Duckhorn Decoy Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/66957601921,20.89,,Duckhorn Decoy Sauvignon Blanc,3.8,204.0,Duckhorn Sauvage Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/145284685,us_whites
75,Duckhorn Sauvignon Blanc Napa 2019,https://shop.heinzcatering.berkeleybowl.com/product/66957601940,30.79,,Duckhorn Sauvignon Blanc Napa,3.9,12431.0,Duckhorn Napa Valley Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/1564160,us_whites
76,Joel Gott Sauvignon Blanc California,https://shop.heinzcatering.berkeleybowl.com/product/18898500011,13.19,,Joel Gott Sauvignon Blanc California,3.7,14400.0,Joel Gott Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/3103253,us_whites
77,Preston Farm & Winery Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/67297524460,21.99,,Preston Farm & Winery Sauvignon Blanc,3.9,185.0,Preston Farm & Winery Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/2543949,us_whites
78,Underwood Pinot Gris 375ml,https://shop.heinzcatering.berkeleybowl.com/product/85603600106,6.59,,Underwood Pinot Gris 375ml,3.4,1437.0,Underwood Pinot Gris,https://www.vivino.com/US-NY/en/wines/6580481,us_whites
79,Mount Eden Vineyard 2000 Chardonnay,https://shop.heinzcatering.berkeleybowl.com/product/79106601998,24.19,,Mount Eden Chardonnay,4.2,1574.0,Mount Eden Vineyards Chardonnay,https://www.vivino.com/US-NY/en/wines/2935661,us_whites
80,Matanzas Creek Winery Sauvignon Blanc Sonoma 2018,https://shop.heinzcatering.berkeleybowl.com/product/72875922210,24.19,,Matanzas Creek Winery Sauvignon Blanc Sonoma,3.8,3710.0,Matanzas Creek Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/3634820,us_whites
81,Long Meadow Ranch Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/89459100252,19.79,,Long Meadow Ranch Sauvignon Blanc,3.9,2160.0,Long Meadow Ranch Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/4609530,us_whites
82,Angeline Sauvignon Blanc Reserve 2019,https://shop.heinzcatering.berkeleybowl.com/product/72972270060,10.99,,Angeline Sauvignon Blanc Reserve,3.6,1288.0,Angeline Reserve Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/146944296,us_whites
83,Matua Valley Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/8981915802,14.29,,Matua Valley Sauvignon Blanc,2.9,13.0,Matua Waikoukou Valley Old North Road Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/4962876,us_whites
84,Field Recordings Fiction White,https://shop.heinzcatering.berkeleybowl.com/product/65323361536,16.49,,Field Recordings Fiction White,4.0,88.0,Field Recordings Fiction White,https://www.vivino.com/US-NY/en/wines/161374069,us_whites
85,Honig Sauvignon Blanc 2019,https://shop.heinzcatering.berkeleybowl.com/product/8383701000,21.99,,Honig Sauvignon Blanc,3.9,11132.0,Honig Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/1540104,us_whites
86,RouteStock Pinot Noir Route 116,https://shop.heinzcatering.berkeleybowl.com/product/72081504253,24.19,,RouteStock Pinot Noir Route 116,,,RouteStock Pinot Noir (Route 116) 2011,https://www.vivino.com/US-NY/en/wines/162337419,us_whites
87,Ovum Big Salt White,https://shop.heinzcatering.berkeleybowl.com/product/86752100024,21.99,,Ovum Big Salt White,4.1,2448.0,Ovum Big Salt,https://www.vivino.com/US-NY/en/wines/153415556,us_whites
88,Frey Natural White Organic California Nv 750 Ml,https://shop.heinzcatering.berkeleybowl.com/product/72151200062,12.09,,Frey Natural White Organic California Nv,3.0,448.0,Frey Organic Natural White,https://www.vivino.com/US-NY/en/wines/1497123,us_whites
89,Elizabeth Spencer North Coast Sauvignon Blanc,https://shop.heinzcatering.berkeleybowl.com/product/86846600009,18.69,,Elizabeth Spencer North Coast Sauvignon Blanc,3.9,1235.0,Elizabeth Spencer Sauvignon Blanc (Special Cuvée),https://www.vivino.com/US-NY/en/wines/4729573,us_whites
90,Bogle Vineyards Chardonnay 2019,https://shop.heinzcatering.berkeleybowl.com/product/8088749392,10.99,,Bogle Chardonnay,3.8,20096.0,Bogle Chardonnay,https://www.vivino.com/US-NY/en/wines/1518427,us_whites
91,Line 39 Chardonnay,https://shop.heinzcatering.berkeleybowl.com/product/89875600115,9.89,,Line 39 Chardonnay,3.6,1032.0,Line 39 Chardonnay,https://www.vivino.com/US-NY/en/wines/2796883,us_whites
92,Macrostie Chardonnay 2018,https://shop.heinzcatering.berkeleybowl.com/product/75008498703,25.29,,Macrostie Chardonnay,,,MacRostie Chardonnay,https://www.vivino.com/US-NY/en/wines/166539537,us_whites
93,Lioco Sonoma Chardonnay,https://shop.heinzcatering.berkeleybowl.com/product/68907609041,26.39,,Lioco Sonoma Chardonnay,3.8,1847.0,Lioco Sonoma County Chardonnay,https://www.vivino.com/US-NY/en/wines/4754736,us_whites
94,Rombauer Vineyards Chardonnay,https://shop.heinzcatering.berkeleybowl.com/product/9792197010,45.09,,Rombauer Chardonnay,4.4,29803.0,Rombauer Vineyards Chardonnay,https://www.vivino.com/US-NY/en/wines/1499473,us_whites
95,Stags' Leap Winery Viognier 2018,https://shop.heinzcatering.berkeleybowl.com/product/8981904600,32.99,,Stags' Leap Winery Viognier,4.1,2945.0,Stags' Leap Viognier,https://www.vivino.com/US-NY/en/wines/3934716,us_whites
96,Dry Creek Vineyard Chenin Blanc Dry 2019,https://shop.heinzcatering.berkeleybowl.com/product/8249109102,16.49,,Dry Creek Chenin Blanc Dry,3.8,3066.0,Dry Creek Vineyard Dry Chenin Blanc (Wilson Ranch),https://www.vivino.com/US-NY/en/wines/2916393,us_whites
97,Lusu Pinot Gris,https://shop.heinzcatering.berkeleybowl.com/product/86000119003,19.79,,Lusu Pinot Gris,3.3,26.0,Lulu Island Pinot Gris,https://www.vivino.com/US-NY/en/wines/18546257,us_whites
98,Husch Vineyards Mendocino Chardonnay,https://shop.heinzcatering.berkeleybowl.com/product/9248610907,15.39,,Husch Mendocino Chardonnay,3.6,661.0,Husch Vineyards Chardonnay,https://www.vivino.com/US-NY/en/wines/4698290,us_whites
99,Broc Cellars Love White Wine Can,https://shop.heinzcatering.berkeleybowl.com/product/70068604657,10.99,,Broc Love White Wine Can,3.8,768.0,Broc Cellars Love White,https://www.vivino.com/US-NY/en/wines/4877308,us_whites
100,Zoe White,https://shop.heinzcatering.berkeleybowl.com/product/66399700025,18.69,,Zoe White,3.8,604.0,Skouras ZOE White,https://www.vivino.com/US-NY/en/wines/144356283,us_whites
101,Bisson Glera Frizzante,https://shop.heinzcatering.berkeleybowl.com/product/81164401107,21.99,,Bisson Glera Frizzante,4.0,869.0,Bisson Marca Trevigiana Glera Frizzante,https://www.vivino.com/US-NY/en/wines/2369739,sparkling_wine
102,Harken Chardonnay Barrel Fermented 2018,https://shop.heinzcatering.berkeleybowl.com/product/84715900181,13.19,,Harken Chardonnay Barrel Fermented,3.9,4498.0,Harken Barrel Fermented Chardonnay,https://www.vivino.com/US-NY/en/wines/34747343,sparkling_wine
103,Graham Beck Brut Rose,https://shop.heinzcatering.berkeleybowl.com/product/69944600031,21.99,,Graham Beck Brut Rose,3.9,6278.0,Graham Beck Brut Rosé (Chardonnay - Pinot Noir),https://www.vivino.com/US-NY/en/wines/1506483,sparkling_wine
104,Sorelle Bronca Prosecco,https://shop.heinzcatering.berkeleybowl.com/product/85887200004,21.99,,Sorelle Bronca Prosecco,3.8,16.0,Sorelle Bronca Prosecco di Valdobbiadene,https://www.vivino.com/US-NY/en/wines/3480917,sparkling_wine
105,Scharffenberger Brut,https://shop.heinzcatering.berkeleybowl.com/product/9754600200,23.09,,Scharffenberger Brut,3.7,2136.0,Scharffenberger Brut Excellence,https://www.vivino.com/US-NY/en/wines/3202705,sparkling_wine
106,Roederer Estate Brut,https://shop.heinzcatering.berkeleybowl.com/product/9754610200,32.99,,Roederer Estate Brut,3.9,6773.0,Roederer Estate Brut,https://www.vivino.com/US-NY/en/wines/1469907,sparkling_wine
107,Raventos i Blanc De Nit Half Bottle,https://shop.heinzcatering.berkeleybowl.com/product/842147870435,19.79,,Raventos i Blanc De Nit Half Bottle,4.0,7797.0,Raventós i Blanc De Nit Rosado,https://www.vivino.com/US-NY/en/wines/2603878,sparkling_wine
108,Mercat Cava Brut Nature,https://shop.heinzcatering.berkeleybowl.com/product/85321500308,16.49,,Mercat Cava Brut Nature,3.7,674.0,Mercat Cava Brut Nature,https://www.vivino.com/US-NY/en/wines/2839612,sparkling_wine
109,Lan Crianza,https://shop.heinzcatering.berkeleybowl.com/product/74715405094,16.49,,Lan Crianza,3.7,29035.0,Lan Crianza Rioja,https://www.vivino.com/US-NY/en/wines/1507176,spanish_portuguese_wine
110,Bodegas Atalaya Laya 2019,https://shop.heinzcatering.berkeleybowl.com/product/85111500222,8.79,,Atalaya Laya,3.7,26579.0,Atalaya Laya,https://www.vivino.com/US-NY/en/wines/1794313,spanish_portuguese_wine
111,Pazo Cilleiro Albarino,https://shop.heinzcatering.berkeleybowl.com/product/85372500601,15.39,,Pazo Cilleiro Albarino,3.7,2649.0,Pazo Cilleiro Albariño,https://www.vivino.com/US-NY/en/wines/29755842,spanish_portuguese_wine
